,make_model,price,gearing_type,km,kw,age
0,Audi A1,15770.0,Automatic,56013.0,66.0,1.0
1,Audi A1,14500.0,Automatic,80000.0,141.0,0.0
2,Audi A1,14640.0,Automatic,83450.0,85.0,0.0
3,Audi A1,14500.0,Automatic,73000.0,66.0,0.0
4,Audi A1,16790.0,Automatic,16200.0,66.0,0.0
5,Audi A1,15090.0,Automatic,63668.0,85.0,0.0
6,Audi A1,16422.0,Automatic,62111.0,85.0,0.0
7,Audi A1,14480.0,Automatic,14986.0,66.0,0.0
8,Audi A1,16700.0,Automatic,57000.0,85.0,1.0
9,Audi A1,17990.0,Automatic,16103.0,70.0,0.0
10,Audi A1,18500.0,Automatic,11300.0,85.0,0.0
11,Audi A1,17990.0,Automatic,26415.0,92.0,0.0
12,Audi A1,18380.0,Automatic,31600.0,92.0,1.0
13,Audi A1,18399.0,Automatic,45764.0,112.0,0.0
14,Audi A1,17990.0,Automatic,34914.0,70.0,1.0
15,Audi A1,18700.0,Automatic,27000.0,85.0,1.0
16,Audi A1,18900.0,Automatic,9752.0,85.0,0.0
17,Audi A1,18500.0,Automatic,28408.0,66.0,0.0
18,Audi A1,18400.0,Automatic,50280.0,70.0,1.0
19,Audi A1,18500.0,Automatic,13406.0,85.0,0.0
20,Audi A1,18500.0,Automatic,51160.0,85.0,0.0
21,Audi A1,18500.0,Automatic,15850.0,92.0,0.0
22,Audi A1,18900.0,Automatic,17000.0,92.0,1.0
23,Audi A1,18850.0,Automatic,9077.0,85.0,0.0
24,Audi A1,18500.0,Automatic,3000.0,70.0,0.0
25,Audi A1,8999.0,Manual,115000.0,70.0,0.0
26,Audi A1,11444.0,Manual,84029.0,70.0,0.0
27,Audi A1,11300.0,Manual,67800.0,70.0,0.0
28,Audi A1,18900.0,Automatic,14556.0,66.0,0.0
29,Audi A1,11290.0,Manual,22000.0,70.0,0.0
30,Audi A1,11290.0,Manual,38400.0,66.0,0.0
31,Audi A1,11440.0,Manual,83307.0,66.0,1.0
32,Audi A1,11445.0,Manual,39668.0,70.0,0.0
33,Audi A1,11700.0,Manual,30353.0,66.0,0.0
34,Audi A1,11900.0,Manual,126000.0,66.0,0.0
35,Audi A1,11949.0,Manual,57500.0,70.0,0.0
36,Audi A1,11890.0,Manual,73945.0,70.0,0.0
37,Audi A1,11600.0,Manual,96000.0,66.0,1.0
38,Audi A1,11900.0,Manual,43120.0,60.0,1.0
39,Audi A1,11630.0,Manual,110715.0,66.0,0.0
40,Audi A1,11880.0,Manual,31971.0,60.0,0.0
41,Audi A1,11800.0,Manual,94800.0,66.0,0.0
42,Audi A1,11850.0,Manual,85000.0,66.0,0.0
43,Audi A1,11569.0,Manual,111265.0,66.0,0.0
44,Audi A1,11490.0,Manual,44120.0,66.0,1.0
45,Audi A1,11490.0,Manual,97976.0,70.0,1.0
46,Audi A1,11500.0,Manual,106000.0,66.0,0.0
47,Audi A1,11790.0,Manual,60000.0,85.0,0.0
48,Audi A1,11490.0,Manual,58000.0,60.0,0.0
49,Audi A1,11470.0,Manual,57454.0,60.0,0.0
50,Audi A1,11480.0,Manual,94055.0,66.0,0.0
51,Audi A1,11180.0,Manual,56000.0,70.0,1.0
52,Audi A1,11450.0,Manual,27600.0,70.0,0.0
53,Audi A1,11100.0,Manual,111670.0,85.0,0.0
54,Audi A1,10900.0,Manual,30500.0,66.0,0.0
55,Audi A1,10999.0,Manual,69500.0,70.0,1.0
56,Audi A1,10900.0,Manual,43500.0,60.0,1.0
57,Audi A1,10950.0,Manual,45696.0,70.0,1.0
58,Audi A1,10800.0,Manual,34000.0,66.0,1.0
59,Audi A1,10600.0,Manual,55000.0,70.0,0.0
60,Audi A1,10800.0,Manual,99000.0,66.0,0.0
61,Audi A1,9950.0,Manual,118500.0,70.0,0.0
62,Audi A1,10300.0,Manual,85000.0,70.0,0.0
63,Audi A1,10000.0,Manual,192000.0,85.0,1.0
64,Audi A1,10490.0,Manual,130000.0,66.0,0.0
65,Audi A1,18900.0,Automatic,41294.0,71.0,1.0
66,Audi A1,18900.0,Automatic,64000.0,85.0,0.0
67,Audi A1,18900.0,Automatic,13135.0,70.0,0.0
68,Audi A1,18900.0,Automatic,4250.0,70.0,0.0
69,Audi A1,18890.0,Automatic,2949.0,70.0,1.0
70,Audi A1,18890.0,Automatic,17861.0,71.0,0.0
71,Audi A1,18890.0,Automatic,22800.0,92.0,1.0
72,Audi A1,18880.0,Automatic,5108.0,70.0,0.0
73,Audi A1,18880.0,Automatic,11335.0,70.0,0.0
74,Audi A1,18880.0,Automatic,6396.0,70.0,1.0
75,Audi A1,18880.0,Automatic,47800.0,85.0,0.0
76,Audi A1,18880.0,Automatic,7021.0,70.0,1.0
77,Audi A1,18880.0,Automatic,30952.0,92.0,1.0
78,Audi A1,18880.0,Automatic,33991.0,92.0,0.0
79,Audi A1,18870.0,Automatic,35800.0,66.0,0.0
80,Audi A1,18850.0,Automatic,7672.0,85.0,0.0
81,Audi A1,18500.0,Automatic,13406.0,85.0,0.0
82,Audi A1,18870.0,Automatic,8430.0,70.0,1.0
83,Audi A1,18497.0,Automatic,40488.0,85.0,0.0
84,Audi A1,18490.0,Automatic,24200.0,66.0,1.0
85,Audi A1,18490.0,Automatic,26500.0,66.0,0.0
86,Audi A1,18490.0,Automatic,58806.0,71.0,0.0
87,Audi A1,18500.0,Automatic,39000.0,85.0,0.0
88,Audi A1,18490.0,Automatic,16700.0,92.0,1.0
89,Audi A1,18490.0,Automatic,41900.0,92.0,1.0
90,Audi A1,18480.0,Automatic,15093.0,92.0,1.0
91,Audi A1,18480.0,Automatic,5211.0,66.0,1.0
92,Audi A1,18470.0,Automatic,12000.0,70.0,1.0
93,Audi A1,18444.0,Automatic,50066.0,92.0,1.0
94,Audi A1,18400.0,Automatic,51484.0,71.0,1.0
95,Audi A1,18400.0,Automatic,14770.0,85.0,0.0
96,Audi A1,18900.0,Automatic,12415.0,85.0,0.0
97,Audi A1,18900.0,Automatic,26064.0,85.0,0.0
98,Audi A1,18900.0,Automatic,16500.0,85.0,0.0
99,Audi A1,18900.0,Automatic,9000.0,92.0,0.0
100,Audi A1,18900.0,Automatic,12402.0,85.0,0.0
101,Audi A1,18900.0,Automatic,14702.0,85.0,0.0
102,Audi A1,18900.0,Automatic,14523.0,85.0,1.0
103,Audi A1,18900.0,Automatic,9082.0,85.0,0.0
104,Audi A1,18900.0,Automatic,9580.0,85.0,0.0
105,Audi A1,18900.0,Automatic,10013.0,85.0,0.0
106,Audi A1,18900.0,Automatic,10450.0,85.0,0.0
107,Audi A1,18900.0,Automatic,14878.0,85.0,0.0
108,Audi A1,18900.0,Automatic,10273.0,85.0,0.0
109,Audi A1,18900.0,Automatic,47500.0,71.0,0.0
110,Audi A1,18900.0,Automatic,9466.0,85.0,0.0
111,Audi A1,18900.0,Automatic,18971.0,85.0,0.0
112,Audi A1,18900.0,Automatic,31877.0,70.0,0.0
113,Audi A1,18900.0,Automatic,9878.0,85.0,0.0
114,Audi A1,18900.0,Automatic,17535.0,70.0,0.0
115,Audi A1,18850.0,Automatic,76264.0,92.0,0.0
116,Audi A1,18850.0,Automatic,6695.0,70.0,0.0
117,Audi A1,18850.0,Automatic,21275.0,92.0,1.0
118,Audi A1,18850.0,Automatic,12261.0,66.0,0.0
119,Audi A1,18840.0,Automatic,3620.0,70.0,1.0
120,Audi A1,18800.0,Automatic,8330.0,85.0,0.0
121,Audi A1,18750.0,Automatic,20306.0,70.0,1.0
122,Audi A1,18730.0,Automatic,1.0,85.0,0.0
123,Audi A1,18700.0,Automatic,27000.0,85.0,1.0
124,Audi A1,18690.0,Automatic,31750.0,92.0,1.0
125,Audi A1,18600.0,Automatic,19800.0,70.0,1.0
126,Audi A1,18500.0,Automatic,52000.0,85.0,1.0
127,Audi A1,18500.0,Automatic,15500.0,70.0,1.0
128,Audi A1,18620.0,Automatic,25977.0,92.0,0.0
129,Audi A1,18500.0,Automatic,9000.0,70.0,0.0
